label,size,pct,satisfaction_score,age,purchases_count,avg_sale_price,median_sale_price,avg_price_per_sqft,total_listings
-1,1843,0.9215,3.0222463374932174,52.97938144329897,3.6288659793814433,349206.5099967949,343722.46306836675,302.5949199305752,3.6288659793814433
0,12,0.006,1.0,49.166666666666664,4.0,280353.8952083333,261245.26416666666,305.3589326700347,4.0
1,16,0.008,4.0,73.6875,4.0,313872.548125,303040.44406249997,298.1816483610029,4.0
2,15,0.0075,5.0,49.333333333333336,4.0,308578.063,285076.7983333333,311.55114834304766,4.0
3,5,0.0025,4.0,55.0,4.0,299174.213,275081.342,300.5809583515006,4.0
4,8,0.004,3.0,51.875,4.0,359802.6928125,361460.94875,308.24811137052154,4.0
5,6,0.003,1.0,71.0,3.0,348714.33666666667,349705.50333333336,317.2151535618453,3.0
6,10,0.005,3.0,49.2,4.0,334146.2975,323755.26950000005,311.69794563524306,4.0
7,10,0.005,4.0,34.4,4.0,284948.09524999995,277433.757,297.8510268336481,4.0
8,6,0.003,2.0,33.833333333333336,4.0,338257.81375000003,355660.47500000003,304.2075802223899,4.0
9,8,0.004,2.0,57.625,4.0,308197.9471875,295461.371875,298.88770053932916,4.0
10,5,0.0025,2.0,55.2,4.0,393106.956,411769.83900000004,309.3190935473763,4.0
11,5,0.0025,3.0,61.0,4.0,325505.21400000004,339328.11600000004,301.3654587181641,4.0
12,5,0.0025,4.0,47.4,4.0,294694.9935,302873.781,277.0458049909763,4.0
13,6,0.003,1.0,51.5,4.0,332089.3754166667,316012.18333333335,290.25431693787095,4.0
14,6,0.003,5.0,48.5,4.0,273233.35041666665,260934.61750000002,276.4202916540321,4.0
15,5,0.0025,5.0,68.6,4.0,345909.37799999997,330610.168,304.59023022898515,4.0
16,10,0.005,3.0,75.8,4.0,382092.57475,399722.327,296.1435160044058,4.0
17,5,0.0025,2.0,40.8,4.0,307966.795,307083.77400000003,298.7117885417182,4.0
18,5,0.0025,3.0,55.2,3.0,364891.5393333334,379629.146,305.0403821484144,3.0
19,5,0.0025,4.0,56.4,4.0,343307.11600000004,325058.738,299.7978582314358,4.0
20,4,0.002,2.0,61.0,4.0,273752.57,250870.73625000002,300.7442136076895,4.0
