listing_id,tower_number,transaction_date,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_ref,sale_price_num,price_per_sqft,is_sold
1012,1,2024-01-01,Apartment,12,1160.36,"$300,385.62",Sold,C0027,300385.62,258.87278086111206,True
1015,1,2024-01-01,Apartment,15,782.25,"$208,930.81",Sold,C0097,208930.81,267.08956216043464,True
1021,1,2024-01-01,Apartment,21,756.21,"$218,585.92",Sold,C0113,218585.92,289.05452189206704,True
1030,1,2024-01-01,Apartment,30,743.09,"$246,172.68",Sold,C0141,246172.68,331.2824556917735,True
2016,2,2024-01-01,Apartment,16,701.66,"$212,265.67",Sold,C0146,212265.67,302.51926859162563,True
2018,2,2024-01-01,Apartment,18,927.83,"$275,394.25",Sold,C0023,275394.25,296.8154187728355,True
2029,2,2024-01-01,Apartment,29,1109.25,"$310,223.29",Sold,C0040,310223.29,279.66940725715574,True
3006,3,2024-01-01,Apartment,6,1132.06,"$356,506.37",Sold,C0007,356506.37,314.9182640496087,True
3026,3,2024-01-01,Apartment,26,670.89,"$212,520.83",Sold,C0082,212520.83,316.7744786775775,True
3031,3,2024-01-01,Apartment,31,1596.35,"$407,214.29",Sold,C0038,407214.29,255.09085726814294,True
3035,3,2024-01-01,Apartment,35,781.07,"$269,278.57",Sold,C0107,269278.57,344.7560013827186,True
4039,4,2024-01-01,Apartment,39,785.48,"$216,826.00",Available,,216826.0,276.0426745429546,False
5015,5,2024-01-01,Apartment,15,798.5,"$237,680.88",Available,,237680.88,297.65921102066375,False
5033,5,2024-01-01,Apartment,33,798.28,"$240,539.35",Sold,C0049,240539.35,301.32202986420805,True
5046,5,2024-01-01,Apartment,46,798.28,"$230,216.22",Sold,C0161,230216.22,288.3903141754773,True
10005,1,2024-01-01,Apartment,1,748.06,"$222,435.93",Sold,C0396,222435.93,297.35038633264713,True
10012,1,2024-01-01,Apartment,2,715.67,"$199,315.51",Sold,C1809,199315.51,278.50197716824795,True
10021,1,2024-01-01,Apartment,3,788.73,"$285,972.38",Sold,C1508,285972.38,362.57322531157683,True
10032,1,2024-01-01,Apartment,4,633.61,"$179,987.43",Sold,C1572,179987.43,284.06658670159874,True
10035,1,2024-01-01,Apartment,4,633.61,"$166,623.12",Available,,166623.12,262.97425861334256,False
10052,1,2024-01-01,Apartment,6,740.75,"$233,361.41",Available,,233361.41,315.03396557543033,False
10105,1,2024-01-01,Office,13,719.47,"$211,336.04",Sold,C0628,211336.04,293.73850195282637,True
10108,1,2024-01-01,Apartment,14,1181.69,"$347,613.48",Sold,C0674,347613.48,294.16638881601773,True
10155,1,2024-01-01,Apartment,20,1146.24,"$336,600.53",Sold,C0909,336600.53,293.65624127582356,True
10168,1,2024-01-01,Apartment,21,1957.16,"$487,767.54",Sold,C0732,487767.54,249.22210754358355,True
10179,1,2024-01-01,Office,22,740.83,"$232,423.05",Sold,C1956,232423.05,313.73331263582736,True
